group,mean_delta,median_delta,nonharm,rows,split,variant,wins,worst_delta
core_wsd,-26.589905560960535,-24.32085810518163,45,45,all,observation_bracket_mplld_neff,45,-3.1527952352987443
core_wsd,-29.87468874369102,-35.96635695800162,15,15,same_scale,observation_bracket_mplld_neff,15,-4.665186792735431
core_wsd,-24.947513969595306,-23.244024455163792,30,30,cross_scale,observation_bracket_mplld_neff,30,-3.1527952352987443
core_wsd,-24.706343736433475,-21.019219694378172,10,10,holdout_test_25,observation_bracket_mplld_neff,10,-13.829165953392097
core_wsd,-27.861908297705877,-28.169861692889665,10,10,holdout_test_100,observation_bracket_mplld_neff,10,-8.183295982732242
core_wsd,-22.274289874646552,-22.89255131797944,10,10,holdout_test_400,observation_bracket_mplld_neff,10,-3.1527952352987443
extra_control,0.0,0.0,27,27,all,observation_bracket_mplld_neff,0,0.0
extra_control,0.0,0.0,9,9,same_scale,observation_bracket_mplld_neff,0,0.0
extra_control,0.0,0.0,18,18,cross_scale,observation_bracket_mplld_neff,0,0.0
extra_control,0.0,0.0,6,6,holdout_test_25,observation_bracket_mplld_neff,0,0.0
extra_control,0.0,0.0,6,6,holdout_test_100,observation_bracket_mplld_neff,0,0.0
extra_control,0.0,0.0,6,6,holdout_test_400,observation_bracket_mplld_neff,0,0.0
core_wsd,-26.69817656744146,-21.467225547499925,45,45,all,observation_bracket_mplld_neff_nolocality,45,-3.1531036805106605
core_wsd,-30.886607160109588,-35.97130259610619,15,15,same_scale,observation_bracket_mplld_neff_nolocality,15,-4.66571382322698
core_wsd,-24.603961271107394,-19.45364441001699,30,30,cross_scale,observation_bracket_mplld_neff_nolocality,30,-3.1531036805106605
core_wsd,-19.521905887160262,-14.574806782271542,10,10,holdout_test_25,observation_bracket_mplld_neff_nolocality,10,-4.764422628438359
core_wsd,-29.350241395876118,-31.382633105488694,10,10,holdout_test_100,observation_bracket_mplld_neff_nolocality,10,-8.184081250760933
core_wsd,-24.939736530285824,-25.620595425576305,10,10,holdout_test_400,observation_bracket_mplld_neff_nolocality,10,-3.1531036805106605
extra_control,13.061106677819545,0.0,18,27,all,observation_bracket_mplld_neff_nolocality,0,56.99030420731048
extra_control,13.386633182004223,0.0,6,9,same_scale,observation_bracket_mplld_neff_nolocality,0,56.99030420731048
extra_control,12.89834342572721,0.0,12,18,cross_scale,observation_bracket_mplld_neff_nolocality,0,53.79154919691207
extra_control,13.562801031742902,0.0,4,6,holdout_test_25,observation_bracket_mplld_neff_nolocality,0,41.76704819841923
