fast_endpoint,lambda_fast,lambda_slow,mean_delta,median_delta,nonharm,rows,slow_multiplier,wins,worst_delta
exact_lambda_obs,18.05070782708191,9.025353913540956,-30.077834483572023,-30.92937176659605,15,15,2.0,15,-1.085874412445098
rounded_20,20.0,9.025353913540956,-32.66384442871861,-38.259614561843755,15,15,2.0,15,-5.296443352845004
exact_lambda_obs,18.05070782708191,8.022536812036405,-31.54982001471556,-33.06436764335998,15,15,2.25,15,-1.085874412445098
rounded_20,20.0,8.022536812036405,-34.136361214394135,-40.538360847776424,15,15,2.25,15,-5.296443352845004
exact_lambda_obs,18.05070782708191,7.220283130832764,-31.97217804276374,-33.842269428319526,15,15,2.5,15,-1.085874412445098
rounded_20,20.0,7.220283130832764,-34.5598985317148,-36.502491592646145,15,15,2.5,15,-5.296443352845004
exact_lambda_obs,18.05070782708191,6.563893755302513,-31.035541538188795,-32.38815746607958,15,15,2.75,15,-1.085874412445098
rounded_20,20.0,6.563893755302513,-33.6252301831393,-33.23234841431454,15,15,2.75,15,-5.296443352845004
exact_lambda_obs,18.05070782708191,6.016902609027304,-29.66869100846185,-28.599532386911907,15,15,3.0,15,-1.085874412445098
rounded_20,20.0,6.016902609027304,-32.25877149932627,-31.547342296332324,15,15,3.0,15,-5.296443352845004
exact_lambda_obs,18.05070782708191,5.1573450934519744,-26.858793458863524,-27.004675908620722,15,15,3.5,15,-1.085874412445098
rounded_20,20.0,5.1573450934519744,-29.449489938664872,-27.007519637791955,15,15,3.5,15,-5.296443352845004
exact_lambda_obs,18.05070782708191,4.512676956770478,-24.38892168477589,-22.94490140288342,15,15,4.0,15,-1.085874412445098
rounded_20,20.0,4.512676956770478,-26.980050134038095,-22.948304058479906,15,15,4.0,15,-5.296443352845004
