dct_modes,fit_start,mean_delta,median_delta,nonharm,nuisance_lambda,ridge_tau,rows,wins,worst_delta
4,8000,-26.30997473493771,-28.928492160069297,15,0.005,0.05,15,15,-4.728360609033544
4,8000,-33.98344863789505,-40.7248627190712,15,0.01,0.05,15,15,-5.077520409782776
4,8000,-11.32173828080983,-10.637769525721907,10,0.02,0.05,15,10,16.253553298374435
6,8000,-26.0048731058473,-29.784643328074367,15,0.005,0.05,15,15,-4.537415757146091
6,8000,-34.13905422884099,-40.939446965948754,15,0.01,0.05,15,15,-5.260776933358491
6,8000,-10.945743314405913,-10.575806523337183,10,0.02,0.05,15,10,16.392730142801692
8,8000,-25.94453162827219,-29.932398151245422,15,0.005,0.05,15,15,-4.5040932815411105
8,8000,-34.14905194514662,-40.88131957738541,15,0.01,0.05,15,15,-5.298410483067828
8,8000,-10.921712907683105,-10.56917112322726,10,0.02,0.05,15,10,16.374509204914943
10,8000,-25.912070321934912,-29.915124497315293,15,0.005,0.05,15,15,-4.50216332746467
10,8000,-34.156761081983525,-40.88123810494187,15,0.01,0.05,15,15,-5.328025565263972
10,8000,-10.92530913194735,-10.569721063201243,10,0.02,0.05,15,10,16.33579482490408
12,8000,-25.896266612591948,-29.893350482307003,15,0.005,0.05,15,15,-4.500498689516874
12,8000,-34.158856043776865,-40.88519676658341,15,0.01,0.05,15,15,-5.335090797325536
12,8000,-10.928400755504295,-10.570421186564683,10,0.02,0.05,15,10,16.32645908870982
