dct_modes,fit_start,mean_delta,median_delta,nonharm,nuisance_lambda,ridge_tau,rows,wins,worst_delta
8,8000,133.63522472147275,113.77438073998962,1,0.01,0.0,15,1,408.50987221053714
8,8000,100.52720458624532,87.65347046165908,1,0.01,0.01,15,1,314.40048875406006
8,8000,44.92420017733389,45.336202448022476,5,0.01,0.02,15,5,162.25617233182894
8,8000,-10.991149233930837,-6.65206322084334,9,0.01,0.035,15,9,21.97058656477875
8,8000,-22.430221941136907,-20.37694723217959,12,0.01,0.04,15,12,6.551752088650042
8,8000,-30.655699016590074,-33.846281290836956,15,0.01,0.045,15,15,-0.11059076976591697
8,8000,-34.14905194514662,-40.88131957738541,15,0.01,0.05,15,15,-5.298410483067828
8,8000,-32.860798875660564,-38.924105795224364,15,0.01,0.055,15,15,-5.615957749763833
8,8000,-29.831475099855922,-35.368926980354075,15,0.01,0.06,15,15,-4.96639874017678
8,8000,-23.946665691596095,-28.700406019179713,15,0.01,0.07,15,15,-4.010637078814117
8,8000,-19.57538064047555,-23.438125491622408,15,0.01,0.08,15,15,-3.357329439969392
8,8000,-13.631578169068282,-16.275966191293378,15,0.01,0.1,15,15,-2.545045626754927
8,8000,-3.845452289111408,-4.589332900668619,15,0.01,0.2,15,15,-1.0160113825932626
