group,mean_delta,median_delta,method,nonharm,rows,split,wins,worst_delta
core_wsd,-24.462067313632875,-21.870624031648823,mpl_ld_tangent,45,45,all,45,-2.0706301313286324
core_wsd,-27.249907643228894,-31.08624992582383,mpl_ld_tangent,15,15,same_scale,15,-3.001762892643167
core_wsd,-23.06814714883486,-16.828723591604827,mpl_ld_tangent,30,30,cross_scale,30,-2.0706301313286324
core_wsd,-19.803156595068486,-12.90266129002202,mpl_ld_tangent,10,10,holdout_test_25,10,-2.0706301313286324
core_wsd,-21.613630860407838,-19.428793266065945,mpl_ld_tangent,15,15,train_25_all_tests,15,-2.154220633267301
core_wsd,-26.666395314063514,-25.311947095207792,mpl_ld_tangent,10,10,holdout_test_100,10,-6.203379959437749
core_wsd,-25.745236851104433,-22.214991314556244,mpl_ld_tangent,15,15,train_100_all_tests,15,-2.0706301313286324
core_wsd,-22.734889537372577,-19.14687093622728,mpl_ld_tangent,10,10,holdout_test_400,10,-2.154220633267301
core_wsd,-26.02733422938636,-21.870624031648823,mpl_ld_tangent,15,15,train_400_all_tests,15,-3.001762892643167
extra_control,0.0,0.0,mpl_ld_tangent,27,27,all,0,0.0
extra_control,0.0,0.0,mpl_ld_tangent,9,9,same_scale,0,0.0
extra_control,0.0,0.0,mpl_ld_tangent,18,18,cross_scale,0,0.0
extra_control,0.0,0.0,mpl_ld_tangent,6,6,holdout_test_25,0,0.0
extra_control,0.0,0.0,mpl_ld_tangent,9,9,train_25_all_tests,0,0.0
extra_control,0.0,0.0,mpl_ld_tangent,6,6,holdout_test_100,0,0.0
extra_control,0.0,0.0,mpl_ld_tangent,9,9,train_100_all_tests,0,0.0
extra_control,0.0,0.0,mpl_ld_tangent,6,6,holdout_test_400,0,0.0
extra_control,0.0,0.0,mpl_ld_tangent,9,9,train_400_all_tests,0,0.0
core_wsd,-23.594013318090376,-22.161052209339815,dct_performance,41,45,all,41,26.677640066094654
core_wsd,-32.82569336684312,-39.347184548198214,dct_performance,15,15,same_scale,15,-5.300377471151208
core_wsd,-18.978173293714008,-13.534754505707369,dct_performance,26,30,cross_scale,26,26.677640066094654
core_wsd,-10.189485950685746,-11.6527473996554,dct_performance,8,10,holdout_test_25,8,26.677640066094654
core_wsd,-25.91091190406409,-29.385057612407184,dct_performance,15,15,train_25_all_tests,15,-3.7374935184001368
core_wsd,-23.19605056988137,-21.011409462049926,dct_performance,8,10,holdout_test_100,8,5.771322174063043
core_wsd,-26.102288521307663,-29.55884708086153,dct_performance,15,15,train_100_all_tests,15,-4.864180071074909
core_wsd,-23.548983360574905,-27.310330781609427,dct_performance,10,10,holdout_test_400,10,-3.7374935184001368
core_wsd,-18.768839528899374,-8.379371104925381,dct_performance,11,15,train_400_all_tests,11,26.677640066094654
extra_control,0.0,0.0,dct_performance,27,27,all,0,0.0
extra_control,0.0,0.0,dct_performance,9,9,same_scale,0,0.0
extra_control,0.0,0.0,dct_performance,18,18,cross_scale,0,0.0
extra_control,0.0,0.0,dct_performance,6,6,holdout_test_25,0,0.0
extra_control,0.0,0.0,dct_performance,9,9,train_25_all_tests,0,0.0
extra_control,0.0,0.0,dct_performance,6,6,holdout_test_100,0,0.0
extra_control,0.0,0.0,dct_performance,9,9,train_100_all_tests,0,0.0
extra_control,0.0,0.0,dct_performance,6,6,holdout_test_400,0,0.0
extra_control,0.0,0.0,dct_performance,9,9,train_400_all_tests,0,0.0
core_wsd,-15.769435776637751,-12.063190693734516,tau_free_dct,42,45,all,42,9.037162096594265
core_wsd,-20.77206933332316,-13.552576240498782,tau_free_dct,15,15,same_scale,15,-5.863360741617296
core_wsd,-13.268118998295046,-10.901156033720477,tau_free_dct,27,30,cross_scale,27,9.037162096594265
core_wsd,-13.072916295984978,-13.822002332239709,tau_free_dct,8,10,holdout_test_25,8,9.037162096594265
core_wsd,-16.36657627784344,-10.169510299020878,tau_free_dct,15,15,train_25_all_tests,15,-3.457356870111017
core_wsd,-13.553701196441054,-11.004094632006279,tau_free_dct,9,10,holdout_test_100,9,1.772237338317506
core_wsd,-17.376971813640413,-13.023779959811977,tau_free_dct,15,15,train_100_all_tests,15,-4.4679544752752935
core_wsd,-13.177739502459096,-8.963075120920443,tau_free_dct,10,10,holdout_test_400,10,-3.457356870111017
core_wsd,-13.564759238429396,-14.84945892160111,tau_free_dct,12,15,train_400_all_tests,12,9.037162096594265
extra_control,0.0,0.0,tau_free_dct,27,27,all,0,0.0
extra_control,0.0,0.0,tau_free_dct,9,9,same_scale,0,0.0
extra_control,0.0,0.0,tau_free_dct,18,18,cross_scale,0,0.0
extra_control,0.0,0.0,tau_free_dct,6,6,holdout_test_25,0,0.0
extra_control,0.0,0.0,tau_free_dct,9,9,train_25_all_tests,0,0.0
extra_control,0.0,0.0,tau_free_dct,6,6,holdout_test_100,0,0.0
extra_control,0.0,0.0,tau_free_dct,9,9,train_100_all_tests,0,0.0
extra_control,0.0,0.0,tau_free_dct,6,6,holdout_test_400,0,0.0
extra_control,0.0,0.0,tau_free_dct,9,9,train_400_all_tests,0,0.0
