group,locality,mean_delta,median_delta,nonharm,response_rule,rows,shrinkage,wins,worst_delta
core_wsd,linear,-20.78248923011265,-13.936252961982088,15,fixed_lambda_20,15,ridge_tau_0p05,15,-5.300377471151208
extra_control,linear,0.0,0.0,9,fixed_lambda_20,9,ridge_tau_0p05,0,0.0
core_wsd,none,-22.061025834938636,-17.06097335704525,15,fixed_lambda_20,15,ridge_tau_0p05,15,-5.296443352845004
extra_control,none,3.037651541035971,0.0,6,fixed_lambda_20,9,ridge_tau_0p05,0,15.432947327358892
core_wsd,linear,-3.715554936368508,-2.2337691902436285,15,fixed_lambda_20,15,tau_free_full_energy,15,-1.3011014463905957
extra_control,linear,0.0,0.0,9,fixed_lambda_20,9,tau_free_full_energy,0,0.0
core_wsd,none,-3.879273889626858,-2.5745054298302095,15,fixed_lambda_20,15,tau_free_full_energy,15,-1.5928282280926243
extra_control,none,0.35596481407576974,0.0,6,fixed_lambda_20,9,tau_free_full_energy,0,1.957358823916766
core_wsd,linear,-20.77206933332316,-13.552576240498782,15,fixed_lambda_20,15,tau_free_sqrt_retention,15,-5.863360741617296
extra_control,linear,0.0,0.0,9,fixed_lambda_20,9,tau_free_sqrt_retention,0,0.0
core_wsd,none,-21.92066532167876,-15.303083874985868,15,fixed_lambda_20,15,tau_free_sqrt_retention,15,-5.864060943658778
extra_control,none,2.691133029684109,0.0,6,fixed_lambda_20,9,tau_free_sqrt_retention,0,13.821177649728433
core_wsd,linear,-19.07855604924672,-15.975253429602066,15,fixed_lambda_obs,15,ridge_tau_0p05,15,-1.0904169944709219
extra_control,linear,0.0,0.0,9,fixed_lambda_obs,9,ridge_tau_0p05,0,0.0
core_wsd,none,-20.552656281853373,-19.55714881740519,15,fixed_lambda_obs,15,ridge_tau_0p05,15,-1.085874412445098
extra_control,none,3.616213784914052,0.0,6,fixed_lambda_obs,9,ridge_tau_0p05,0,18.008142121763825
core_wsd,linear,-3.532216931557552,-2.1633007651655545,15,fixed_lambda_obs,15,tau_free_full_energy,15,-1.2455541765248213
extra_control,linear,0.0,0.0,9,fixed_lambda_obs,9,tau_free_full_energy,0,0.0
core_wsd,none,-3.6898781253067927,-2.5107006865586756,15,fixed_lambda_obs,15,tau_free_full_energy,15,-1.5248264134138378
extra_control,none,0.34792753417578237,0.0,6,fixed_lambda_obs,9,tau_free_full_energy,0,1.9063499353396463
core_wsd,linear,-20.40702338783409,-13.466037127557772,15,fixed_lambda_obs,15,tau_free_sqrt_retention,15,-6.630920599943635
extra_control,linear,0.0,0.0,9,fixed_lambda_obs,9,tau_free_sqrt_retention,0,0.0
core_wsd,none,-21.541889848385967,-15.01281011800052,15,fixed_lambda_obs,15,tau_free_sqrt_retention,15,-6.631731737071123
extra_control,none,2.6947075918568375,0.0,6,fixed_lambda_obs,9,tau_free_sqrt_retention,0,13.803276817423793
core_wsd,linear,-29.819769538424577,-32.5393570421526,15,two_observation_roundfast20,15,ridge_tau_0p05,15,-5.300377471151208
extra_control,linear,0.0,0.0,9,two_observation_roundfast20,9,ridge_tau_0p05,0,0.0
core_wsd,none,-32.66384442871861,-38.259614561843755,15,two_observation_roundfast20,15,ridge_tau_0p05,15,-5.296443352845004
extra_control,none,10.418457987577362,0.0,6,two_observation_roundfast20,9,ridge_tau_0p05,0,44.35403264047788
core_wsd,linear,-3.483068328784601,-1.7559334483432942,15,two_observation_roundfast20,15,tau_free_full_energy,15,-0.849887814090633
extra_control,linear,0.0,0.0,9,two_observation_roundfast20,9,tau_free_full_energy,0,0.0
core_wsd,none,-3.594660239983817,-1.936437956221515,15,two_observation_roundfast20,15,tau_free_full_energy,15,-1.0404456199412992
extra_control,none,0.2755308497788711,0.0,6,two_observation_roundfast20,9,tau_free_full_energy,0,1.4798600332985412
core_wsd,linear,-20.165790883935284,-12.563928096924448,15,two_observation_roundfast20,15,tau_free_sqrt_retention,15,-5.863360741617296
extra_control,linear,0.0,0.0,9,two_observation_roundfast20,9,tau_free_sqrt_retention,0,0.0
core_wsd,none,-21.18390348411405,-13.554362396289598,15,two_observation_roundfast20,15,tau_free_sqrt_retention,15,-5.864060943658778
extra_control,none,2.6761607268939738,0.0,6,two_observation_roundfast20,9,tau_free_sqrt_retention,0,13.525474895386381
core_wsd,linear,-32.82569336684312,-39.347184548198214,15,two_point_five_roundfast20,15,ridge_tau_0p05,15,-5.300377471151208
extra_control,linear,0.0,0.0,9,two_point_five_roundfast20,9,ridge_tau_0p05,0,0.0
core_wsd,none,-34.5598985317148,-36.502491592646145,15,two_point_five_roundfast20,15,ridge_tau_0p05,15,-5.296443352845004
extra_control,none,14.020018774195579,0.0,6,two_point_five_roundfast20,9,ridge_tau_0p05,0,56.429853099638215
core_wsd,linear,-3.412621015486792,-1.7559334483432942,15,two_point_five_roundfast20,15,tau_free_full_energy,15,-0.72443843440958
extra_control,linear,0.0,0.0,9,two_point_five_roundfast20,9,tau_free_full_energy,0,0.0
core_wsd,none,-3.508417564959943,-1.7561872326254058,15,two_point_five_roundfast20,15,tau_free_full_energy,15,-0.8868685766539097
extra_control,none,0.24750867847205507,0.0,6,two_point_five_roundfast20,9,tau_free_full_energy,0,1.3232387288242053
core_wsd,linear,-19.93255497323529,-12.063190693734516,15,two_point_five_roundfast20,15,tau_free_sqrt_retention,15,-5.863360741617296
extra_control,linear,0.0,0.0,9,two_point_five_roundfast20,9,tau_free_sqrt_retention,0,0.0
core_wsd,none,-20.89837252617191,-13.554362396289598,15,two_point_five_roundfast20,15,tau_free_sqrt_retention,15,-5.864060943658778
extra_control,none,2.652726618317066,0.0,6,two_point_five_roundfast20,9,tau_free_sqrt_retention,0,13.37366566500866
