group,mean_delta,median_delta,nonharm,rows,variant,wins,worst_delta
core_wsd,-31.97217804276374,-33.842269428319526,15,15,strict_exact,15,-1.085874412445098
extra_control,14.020370417779867,0.0,6,9,strict_exact,0,56.43098551605972
core_wsd,-31.563643348286625,-32.98694042987334,15,15,strict_exact_sqrtlocalized,15,-1.0881457855189125
extra_control,0.0,0.0,9,9,strict_exact_sqrtlocalized,0,0.0
core_wsd,-30.2420116940387,-30.836104999458502,15,15,strict_exact_localized,15,-1.0904169944709219
extra_control,0.0,0.0,9,9,strict_exact_localized,0,0.0
core_wsd,-34.5598985317148,-36.502491592646145,15,15,rounded_fast20,15,-5.296443352845004
extra_control,14.020018774195579,0.0,6,9,rounded_fast20,0,56.429853099638215
core_wsd,-34.14905194514662,-40.88131957738541,15,15,rounded_fast20_sqrtlocalized,15,-5.298410483067828
extra_control,0.0,0.0,9,9,rounded_fast20_sqrtlocalized,0,0.0
core_wsd,-32.82569336684312,-39.347184548198214,15,15,rounded_fast20_localized,15,-5.300377471151208
extra_control,0.0,0.0,9,9,rounded_fast20_localized,0,0.0
core_wsd,-34.45048460699111,-35.17415449856828,15,15,legacy_7_20,15,-5.296443352845004
extra_control,14.588604226425199,0.0,6,9,legacy_7_20,0,58.255250651958846
