amplitude_scale,group,mean_delta,median_delta,nonharm,rows,wins,worst_delta
0.0,core_wsd,0.0,0.0,15,15,0,0.0
0.0,extra_control,0.0,0.0,9,9,0,0.0
0.25,core_wsd,-3.932207528967253,-3.912098692171373,15,15,15,-2.089034108325194
0.25,extra_control,0.0,0.0,9,9,0,0.0
0.5,core_wsd,-7.861959019327496,-7.824197384341791,15,15,15,-4.178068216650943
0.5,extra_control,0.0,0.0,9,9,0,0.0
0.75,core_wsd,-11.25393648436738,-9.948162505359004,15,15,15,-6.267102324976015
0.75,extra_control,0.0,0.0,9,9,0,0.0
1.0,core_wsd,-13.767399058963177,-11.077061886212036,15,15,15,-6.2920841828281056
1.0,extra_control,0.0,0.0,9,9,0,0.0
1.25,core_wsd,-15.174569914363056,-11.720752115302592,15,15,15,-5.9030413737279686
1.25,extra_control,0.0,0.0,9,9,0,0.0
1.5,core_wsd,-15.953807255094803,-12.849188020294966,15,15,15,-3.4312693078954237
1.5,extra_control,0.0,0.0,9,9,0,0.0
2.0,core_wsd,-15.612579023480038,-12.367371609568611,14,15,14,3.7649618688162745
2.0,extra_control,0.0,0.0,9,9,0,0.0
