attenuation,attenuation_factor,base_mae,coefficient,cooldown_support_span,corr_mae,delta_pct,effective_tau_steps,fit_start,group,ld_component,nonharm,split,tau_rule,tau_steps,test_curve,test_label,test_scale,train_scale,variant,win
none,1.0,0.003408385839825258,1.0,4000,0.0033987356496891514,-0.2831308011947753,32.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,32,wsd_20000_24000.csv,WSD sharp,25,,direct_mpl_ld_lag,1
none,1.0,0.0031360955249893426,1.0,4000,0.003126721068460879,-0.29892126862096635,32.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,32,wsdld_20000_24000.csv,WSD linear,25,,direct_mpl_ld_lag,1
none,1.0,0.004487187642230267,1.0,2,0.004465440937655006,-0.4846399640299537,32.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,32,wsdcon_3.csv,WSD-con 3e-5,25,,direct_mpl_ld_lag,1
none,1.0,0.002926482771138891,1.0,2,0.0029085963438490407,-0.6111919559632084,32.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,32,wsdcon_9.csv,WSD-con 9e-5,25,,direct_mpl_ld_lag,1
none,1.0,0.002504818961791151,1.0,2,0.002493697540615595,-0.44400099748539423,32.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,32,wsdcon_18.csv,WSD-con 18e-5,25,,direct_mpl_ld_lag,1
none,1.0,0.004428106847791531,1.0,21840,0.00442627888766781,-0.041280849504166106,32.0,,extra_control,full,1,direct_no_source_fit,fixed_grid,32,cosine_24000.csv,Cosine 24k,25,,direct_mpl_ld_lag,1
none,1.0,0.003761619732988638,1.0,0,0.0037624210035609503,0.02130121142456254,32.0,,extra_control,full,0,direct_no_source_fit,fixed_grid,32,constant_24000.csv,Constant 24k,25,,direct_mpl_ld_lag,0
none,1.0,0.0015795124507172926,1.0,0,0.001579531440437487,0.0012022520104570944,32.0,,extra_control,full,0,direct_no_source_fit,fixed_grid,32,constant_72000.csv,Constant 72k,25,,direct_mpl_ld_lag,0
none,1.0,0.0037480705220761528,1.0,4000,0.0037358118731185175,-0.3270655897596342,32.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,32,wsd_20000_24000.csv,WSD sharp,100,,direct_mpl_ld_lag,1
none,1.0,0.003248313740665229,1.0,4000,0.0032368276421291336,-0.3536018824875864,32.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,32,wsdld_20000_24000.csv,WSD linear,100,,direct_mpl_ld_lag,1
none,1.0,0.0056693997340904675,1.0,2,0.005646109324169145,-0.4108090982062107,32.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,32,wsdcon_3.csv,WSD-con 3e-5,100,,direct_mpl_ld_lag,1
none,1.0,0.004934623402238123,1.0,2,0.0049156782133972215,-0.38392370190415415,32.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,32,wsdcon_9.csv,WSD-con 9e-5,100,,direct_mpl_ld_lag,1
none,1.0,0.0013816404339982303,1.0,2,0.001370131164985087,-0.8330147793834897,32.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,32,wsdcon_18.csv,WSD-con 18e-5,100,,direct_mpl_ld_lag,1
none,1.0,0.0032781062167547585,1.0,21840,0.0032747354047912287,-0.10282802754533193,32.0,,extra_control,full,1,direct_no_source_fit,fixed_grid,32,cosine_24000.csv,Cosine 24k,100,,direct_mpl_ld_lag,1
none,1.0,0.001848699219840022,1.0,0,0.0018489692543521685,0.014606730464783446,32.0,,extra_control,full,0,direct_no_source_fit,fixed_grid,32,constant_24000.csv,Constant 24k,100,,direct_mpl_ld_lag,0
none,1.0,0.004776169698442608,1.0,0,0.004775970029336996,-0.004180527875219386,32.0,,extra_control,full,1,direct_no_source_fit,fixed_grid,32,constant_72000.csv,Constant 72k,100,,direct_mpl_ld_lag,1
none,1.0,0.004701998914275349,1.0,4000,0.004687323039889351,-0.3121199016325127,32.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,32,wsd_20000_24000.csv,WSD sharp,400,,direct_mpl_ld_lag,1
