boundary,group,mean_delta,median_delta,nonharm,rows,rule,wins,worst_delta
linear_support,core_wsd,-8.730091277292765,-8.54002924281836,15,15,fixed_one_obs,15,-6.219781912356814
linear_support,extra_control,0.0,0.0,9,9,fixed_one_obs,0,0.0
none,core_wsd,-9.444090989670183,-9.291228840217979,15,15,fixed_one_obs,15,-6.219751324243983
none,extra_control,0.25851578994046104,0.0,8,9,fixed_one_obs,2,6.529940695363923
linear_support,core_wsd,-13.518803595515747,-19.377351021427792,14,15,fixed_two_obs,14,14.956658173255711
linear_support,extra_control,0.0,0.0,9,9,fixed_two_obs,0,0.0
none,core_wsd,-14.897537665878955,-20.124951812174828,14,15,fixed_two_obs,14,14.96390712695559
none,extra_control,1.5233581156601632,0.0,8,9,fixed_two_obs,2,17.280675469321103
linear_support,core_wsd,-13.700721420487707,-10.814460757690325,15,15,support_hard_two_obs,15,-6.219781912356814
linear_support,extra_control,0.0,0.0,9,9,support_hard_two_obs,0,0.0
none,core_wsd,-15.081111806546186,-10.816023766905214,15,15,support_hard_two_obs,15,-6.219751324243983
none,extra_control,1.5233581156601632,0.0,8,9,support_hard_two_obs,2,17.280675469321103
linear_support,core_wsd,-13.767399058963177,-11.077061886212036,15,15,support_linear_bracket,15,-6.2920841828281056
linear_support,extra_control,0.0,0.0,9,9,support_linear_bracket,0,0.0
none,core_wsd,-15.147730076711523,-11.078662849051568,15,15,support_linear_bracket,15,-6.292064044530554
none,extra_control,1.5233581156601632,0.0,8,9,support_linear_bracket,2,17.280675469321103
linear_support,core_wsd,-14.355875986116263,-13.175819457358918,15,15,support_log_bracket,15,-6.645194675980037
linear_support,extra_control,0.0,0.0,9,9,support_log_bracket,0,0.0
none,core_wsd,-15.735920964963608,-13.176196189877764,15,15,support_log_bracket,15,-6.6444581967858625
none,extra_control,1.5233581156601632,0.0,8,9,support_log_bracket,2,17.280675469321103
linear_support,core_wsd,-14.15153636364838,-12.307946338641539,15,15,support_sqrt_bracket,15,-6.786419115284426
linear_support,extra_control,0.0,0.0,9,9,support_sqrt_bracket,0,0.0
none,core_wsd,-15.53171696834982,-12.308197637843199,15,15,support_sqrt_bracket,15,-6.7857030471952795
none,extra_control,1.5233581156601632,0.0,8,9,support_sqrt_bracket,2,17.280675469321103
