objective,scale,shared_beta,shared_c,shared_gamma,variant
0.00010165542454754233,25,0.9600541420381892,,0.9918905329304987,median_beta_gamma_refit
0.00010167742815446038,25,0.9600541420381892,2.1489760011145105,0.9918905329304987,median_c_beta_gamma_refit
0.00028411853182237605,25,,,,frozen_official
0.00010151417348310365,25,,,,cosine_independent
0.00010497282465797412,100,0.9600541420381892,,0.9918905329304987,median_beta_gamma_refit
0.00010497282473899313,100,0.9600541420381892,2.1489760011145105,0.9918905329304987,median_c_beta_gamma_refit
0.00029445552201662177,100,,,,frozen_official
0.00010497320479295886,100,,,,cosine_independent
0.000152032767403999,400,0.9600541420381892,,0.9918905329304987,median_beta_gamma_refit
0.00015203943507996275,400,0.9600541420381892,2.1489760011145105,0.9918905329304987,median_c_beta_gamma_refit
0.0003077100087772982,400,,,,frozen_official
0.0001519760811277455,400,,,,cosine_independent
