backbone_params,p0,p1,p2,p3,p4,p5,p6,residual_params,scale,variant
21,3.04045406,0.52468604,0.50786857,363.78751622,2.06560812,0.58279013,0.64142257,0,25,frozen_official
21,2.6514477,0.60115152,0.45295811,437.9464276,2.13245612,0.59785199,0.65523644,0,100,frozen_official
21,2.37474466,0.65421216,0.42878731,523.42464371,2.02462735,0.59350493,0.63472457,0,400,frozen_official
21,3.0675802225047524,0.49801439876888876,0.5365763150756138,363.9852162302164,2.507498550934683,5.0,5.0,0,25,cosine_independent
21,2.681982065587804,0.5677671004780372,0.47325722852894114,437.9532981725168,2.1489760011145105,0.9600541420381892,0.9918905329304987,0,100,cosine_independent
21,2.4083008375469115,0.6078895246191556,0.44650317784726656,523.4287252173408,2.039127757014027,0.8935018582376154,0.9182280036804193,0,400,cosine_independent
17,3.067612956762493,0.49798828371836734,0.5366787692409465,363.9853432609589,2.507503310067072,0.9600541420381892,0.9918905329304987,0,25,median_beta_gamma_refit
17,2.681946843780537,0.5677985838864391,0.4732067606071329,437.95349047764773,2.148971686584923,0.9600541420381892,0.9918905329304987,0,100,median_beta_gamma_refit
17,2.4082140937115133,0.6079428873429273,0.4463155146255963,523.4289682050804,2.0391183824844674,0.9600541420381892,0.9918905329304987,0,400,median_beta_gamma_refit
15,3.067610647325232,0.49799270136549495,0.5366834662746071,363.9853785173153,2.1489760011145105,0.9600541420381892,0.9918905329304987,0,25,median_c_beta_gamma_refit
15,2.6819468506480817,0.5677985781536439,0.47320677081969154,437.95349047923696,2.1489760011145105,0.9600541420381892,0.9918905329304987,0,100,median_c_beta_gamma_refit
15,2.4082028932478448,0.6079515693541113,0.44629891525976984,523.4289777948999,2.1489760011145105,0.9600541420381892,0.9918905329304987,0,400,median_c_beta_gamma_refit
