group,mean_delta,median_delta,nonharm,rows,split,tau_steps,variant,wins,worst_delta
core_wsd,38.14091044190174,15.147068848425738,7,15,direct_no_source_fit,1024,cooldown_adiabatic_mpl_ld_lag,7,215.61461933065894
extra_control,0.0,0.0,9,9,direct_no_source_fit,1024,cooldown_adiabatic_mpl_ld_lag,0,0.0
core_wsd,-8.730091277292765,-8.54002924281836,15,15,direct_no_source_fit,128,cooldown_adiabatic_mpl_ld_lag,15,-6.219781912356814
extra_control,0.0,0.0,9,9,direct_no_source_fit,128,cooldown_adiabatic_mpl_ld_lag,0,0.0
core_wsd,561.314282225482,586.1700729232947,0,15,direct_no_source_fit,16384,cooldown_adiabatic_mpl_ld_lag,0,1593.2780957194943
extra_control,0.0,0.0,9,9,direct_no_source_fit,16384,cooldown_adiabatic_mpl_ld_lag,0,0.0
core_wsd,148.5718272175587,150.06572398719115,0,15,direct_no_source_fit,2048,cooldown_adiabatic_mpl_ld_lag,0,462.1258220087763
extra_control,0.0,0.0,9,9,direct_no_source_fit,2048,cooldown_adiabatic_mpl_ld_lag,0,0.0
core_wsd,-13.518803595515747,-19.377351021427792,14,15,direct_no_source_fit,256,cooldown_adiabatic_mpl_ld_lag,14,14.956658173255711
extra_control,0.0,0.0,9,9,direct_no_source_fit,256,cooldown_adiabatic_mpl_ld_lag,0,0.0
core_wsd,-0.39550327343045233,-0.33043251978858157,15,15,direct_no_source_fit,32,cooldown_adiabatic_mpl_ld_lag,15,-0.23261911597838303
extra_control,0.0,0.0,9,9,direct_no_source_fit,32,cooldown_adiabatic_mpl_ld_lag,0,0.0
core_wsd,302.33008974199834,319.9794990384497,0,15,direct_no_source_fit,4096,cooldown_adiabatic_mpl_ld_lag,0,858.2130542617175
extra_control,0.0,0.0,9,9,direct_no_source_fit,4096,cooldown_adiabatic_mpl_ld_lag,0,0.0
core_wsd,-6.789863468159945,-24.142566352832528,9,15,direct_no_source_fit,512,cooldown_adiabatic_mpl_ld_lag,9,81.89148490979161
extra_control,0.0,0.0,9,9,direct_no_source_fit,512,cooldown_adiabatic_mpl_ld_lag,0,0.0
core_wsd,-2.9050971276701185,-2.4720330871775054,15,15,direct_no_source_fit,64,cooldown_adiabatic_mpl_ld_lag,15,-1.956762087570585
extra_control,0.0,0.0,9,9,direct_no_source_fit,64,cooldown_adiabatic_mpl_ld_lag,0,0.0
core_wsd,451.7010926356597,476.39118643210264,0,15,direct_no_source_fit,8192,cooldown_adiabatic_mpl_ld_lag,0,1274.6817732031734
