fit_start,group,mean_base_vs_official_baseline,mean_corr_vs_official_baseline,mean_delta_vs_own_baseline,nonharm_vs_own_baseline,protocol,rows,shrinkage,tangent_group,wins_vs_own_baseline,worst_corr_vs_official_baseline,worst_delta_vs_own_baseline
2160,core_wsd,55.04527052230417,46.697914499953576,-5.084321677736091,15,cosine_only,15,full_energy,all7,15,89.36169975267237,-0.36045539798144066
2160,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,full_energy,all7,0,490.27031703608924,0.0
2160,core_wsd,55.04527052230417,47.20616287638465,-5.1207432023386765,11,cosine_only,15,orth_ols,all7,11,116.82083383475702,28.725619368299938
2160,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,orth_ols,all7,0,490.27031703608924,0.0
2160,core_wsd,55.04527052230417,42.97661289731791,-7.498118698193306,15,cosine_only,15,sqrt_retention,all7,15,86.35482637824315,-1.4665846550822703
2160,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,sqrt_retention,all7,0,490.27031703608924,0.0
2160,core_wsd,55.04527052230417,49.87746059864656,-3.5565328675510126,15,cosine_only,15,full_energy,ld4,10,106.80840626460855,0.0
2160,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,full_energy,ld4,0,490.27031703608924,0.0
2160,core_wsd,55.04527052230417,41.964543057890054,-8.678602550947904,15,cosine_only,15,orth_ols,ld4,10,106.80840626460855,0.0
2160,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,orth_ols,ld4,0,490.27031703608924,0.0
2160,core_wsd,55.04527052230417,43.4118084337268,-7.8901230226319115,15,cosine_only,15,sqrt_retention,ld4,10,106.80840626460855,0.0
2160,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,sqrt_retention,ld4,0,490.27031703608924,0.0
2160,core_wsd,55.04527052230417,54.585275968342714,-0.2832104510945584,15,cosine_only,15,full_energy,none,5,106.80840626460855,0.0
2160,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,full_energy,none,0,490.27031703608924,0.0
2160,core_wsd,55.04527052230417,54.585275968342714,-0.2832104510945584,15,cosine_only,15,orth_ols,none,5,106.80840626460855,0.0
2160,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,orth_ols,none,0,490.27031703608924,0.0
2160,core_wsd,55.04527052230417,54.585275968342714,-0.2832104510945584,15,cosine_only,15,sqrt_retention,none,5,106.80840626460855,0.0
2160,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,sqrt_retention,none,0,490.27031703608924,0.0
5000,core_wsd,55.04527052230417,48.5223908523657,-3.8783400461824287,15,cosine_only,15,full_energy,all7,10,93.32677311781457,0.0
