scale,split,model,optimizer,curve,mae,rmse,mape,r2,huber_log
100,train,tissue,lbfgsb,cosine_24000.csv,0.01830134140896066,0.020131668946768957,0.005810543616094024,0.9862082563908723,0.0009100655049758849
100,train,tissue,adamw,cosine_24000.csv,0.2592957695850113,0.2909547045241729,0.0835895194325997,-1.8807819181138519,0.015041779841778785
100,train,mpl,lbfgsb,cosine_24000.csv,0.016705430458974928,0.022156787293132276,0.005511592108973421,0.9832939725096482,0.0008605545598899494
100,train,mpl,adamw,cosine_24000.csv,0.01664790541247923,0.019524425490478708,0.005364992954205575,0.9870277251442771,0.0008327974677081846
100,train,tissue,lbfgsb,constant_24000.csv,0.030428204881926,0.035637438302524006,0.009711883316789833,0.9446711072171916,0.0015847658650914645
100,train,tissue,adamw,constant_24000.csv,0.13339609035741407,0.15635404162585845,0.04176183677117006,-0.06501873170704653,0.0070073281471381525
100,train,mpl,lbfgsb,constant_24000.csv,0.0034691960559979406,0.003633358628329974,0.0010986735144350895,0.999424883859717,0.0001060819353983663
100,train,mpl,adamw,constant_24000.csv,0.016708617963085003,0.017353158704531104,0.005263542690267424,0.9868811399274866,0.0008175275689482002
100,train,tissue,lbfgsb,wsdcon_9.csv,0.0155503127644981,0.01890288124072689,0.0047431976639154836,0.9879304692218333,0.0004618765140082528
100,train,tissue,adamw,wsdcon_9.csv,0.28892231749025254,0.32992350595988085,0.09111315317779857,-2.676722833959198,0.010528769591494338
100,train,mpl,lbfgsb,wsdcon_9.csv,0.017939067045021823,0.023244732788873356,0.005774247090762243,0.981749133387481,0.0005758177436019249
100,train,mpl,adamw,wsdcon_9.csv,0.017875883142317396,0.018944049259793514,0.005600213993228076,0.9878778402352297,0.0005564190422888428
100,test,tissue,lbfgsb,constant_72000.csv,0.10511728737138742,0.12030168344230156,0.03522759416795261,0.07962131621240354,0.019422611065323402
100,test,tissue,adamw,constant_72000.csv,0.21300962085721845,0.22513759383987353,0.07071027418164669,-2.2234369721525664,0.03701377975496383
100,test,mpl,lbfgsb,constant_72000.csv,0.005603742664155698,0.006313366504934372,0.001857026407775957,0.9974651915512199,0.0007529869583889819
100,test,mpl,adamw,constant_72000.csv,0.008130555611827397,0.010502753318503125,0.002617883677565871,0.992984970967365,0.001178020830886983
100,test,tissue,lbfgsb,cosine_72000.csv,0.09096681123516699,0.10119559700918505,0.030966999838883257,0.5420836904495641,0.01697095045022526
100,test,tissue,adamw,cosine_72000.csv,0.1565685224571383,0.19567828483631025,0.053024217700056976,-0.7121749715756518,0.02991555366901687
100,test,mpl,lbfgsb,cosine_72000.csv,0.010950478046721862,0.015391842531256255,0.003761282060519142,0.989406387050047,0.001797198545868465
100,test,mpl,adamw,cosine_72000.csv,0.01693853154523588,0.020121834415077016,0.00570208216301483,0.9818950212308292,0.0028423257830710404
100,test,tissue,lbfgsb,wsd_20000_24000.csv,0.03393304873236703,0.04205366272904202,0.01095795791602653,0.93268658559881,0.0018030194959643543
100,test,tissue,adamw,wsd_20000_24000.csv,0.14604870603887513,0.18146690480326477,0.04627729847906109,-0.253397514155447,0.00798098639991583
100,test,mpl,lbfgsb,wsd_20000_24000.csv,0.003905440649760639,0.004451750728141822,0.0012504008520799691,0.9992456799658569,0.00013293382543199924
100,test,mpl,adamw,wsd_20000_24000.csv,0.016208910182311475,0.017170233275876284,0.005112250978962219,0.9887786177483145,0.0007918730681871521
100,test,tissue,lbfgsb,wsdld_20000_24000.csv,0.03311539120409725,0.040642212560705236,0.010663761340582086,0.9348846044121646,0.0017514813712246385
100,test,tissue,adamw,wsdld_20000_24000.csv,0.13133798404067323,0.16188894487506425,0.04129024896959544,-0.03315000604539553,0.007050436761190505
100,test,mpl,lbfgsb,wsdld_20000_24000.csv,0.0035209693845910457,0.0038322145233542063,0.0011199235034598891,0.999421066577787,0.00011202213169412305
100,test,mpl,adamw,wsdld_20000_24000.csv,0.015887632845884302,0.016987824152401517,0.005001185066095258,0.9886236089734363,0.0007735431393905974
100,test,tissue,lbfgsb,wsdcon_3.csv,0.017009853655020505,0.02085155442733466,0.005205720540648814,0.9850602830708507,0.0005139122932553113
100,test,tissue,adamw,wsdcon_3.csv,0.378828259047404,0.44193091934201434,0.12010765929403554,-5.710799633200948,0.014272015350735714
100,test,mpl,lbfgsb,wsdcon_3.csv,0.01767937159645475,0.02398413834802,0.005683879415571981,0.9802342299740734,0.0005663303463426483
100,test,mpl,adamw,wsdcon_3.csv,0.01890207947222736,0.020586583022062187,0.005931637153945981,0.9854375638952386,0.0005924586413030628
100,test,tissue,lbfgsb,wsdcon_18.csv,0.015113744489100644,0.018858917049437457,0.004597182325399094,0.9868299729809341,0.0004473785373777405
100,test,tissue,adamw,wsdcon_18.csv,0.16795408611137183,0.19303619441701447,0.051740668489209586,-0.3798461294243849,0.005781609663420622
100,test,mpl,lbfgsb,wsdcon_18.csv,0.008836921448914887,0.010723914430361496,0.0028084014315640188,0.9957414686839458,0.00025460672083157113
100,test,mpl,adamw,wsdcon_18.csv,0.008203426933243113,0.012606962902928035,0.00246026327425061,0.9941146253382819,0.00023400584320147478
