step,lr,loss
100.0,2.5773195876288655e-07,0.5602
200.0,4.982808022922636e-07,0.4852
300.0,4.696275071633238e-07,0.5212
400.0,4.4097421203438397e-07,0.5496
500.0,4.1232091690544414e-07,0.5209
600.0,3.8366762177650427e-07,0.4617
700.0,3.550143266475645e-07,0.4452
800.0,3.263610315186246e-07,0.4674
900.0,2.9770773638968484e-07,0.4656
1000.0,2.6905444126074496e-07,0.4102
1100.0,2.4040114613180514e-07,0.4663
1200.0,2.117478510028653e-07,0.4737
1300.0,1.8309455587392546e-07,0.4259
1400.0,1.5444126074498564e-07,0.4935
1500.0,1.257879656160458e-07,0.4211
1600.0,9.7134670487106e-08,0.4931
1700.0,6.848137535816617e-08,0.5029
1800.0,3.982808022922635e-08,0.4965
1900.0,1.117478510028652e-08,0.4337
