step,lr,loss
100.0,8.59106529209622e-08,0.6284
200.0,1.718213058419244e-07,0.4908
300.0,2.5773195876288655e-07,0.5264
400.0,3.436426116838488e-07,0.5536
500.0,4.29553264604811e-07,0.5362
600.0,4.982814588504869e-07,0.5966
700.0,4.887340080198587e-07,0.5014
800.0,4.791865571892305e-07,0.5334
900.0,4.696391063586022e-07,0.5251
1000.0,4.60091655527974e-07,0.5205
1100.0,4.505442046973458e-07,0.5094
1200.0,4.409967538667176e-07,0.5837
1300.0,4.3144930303608935e-07,0.5214
1400.0,4.2190185220546116e-07,0.6914
1500.0,4.123544013748329e-07,0.4655
1600.0,4.028069505442047e-07,0.5731
1700.0,3.9325949971357645e-07,0.5233
1800.0,3.837120488829482e-07,0.5593
1900.0,3.7416459805232e-07,0.4967
2000.0,3.646171472216918e-07,0.0921
2100.0,3.5506969639106354e-07,0.0733
2200.0,3.4552224556043536e-07,0.0972
2300.0,3.3597479472980717e-07,0.1058
2400.0,3.2642734389917893e-07,0.2423
2500.0,3.168798930685507e-07,0.1177
2600.0,3.0733244223792245e-07,0.1213
2700.0,2.977849914072942e-07,0.0889
2800.0,2.8823754057666603e-07,0.0995
2900.0,2.786900897460378e-07,0.1145
3000.0,2.6914263891540955e-07,0.0644
3100.0,2.595951880847813e-07,0.0798
3200.0,2.500477372541531e-07,0.1013
3300.0,2.4050028642352494e-07,0.1254
3400.0,2.309528355928967e-07,0.085
3500.0,2.2140538476226843e-07,0.065
3600.0,2.1185793393164025e-07,0.0755
3700.0,2.02310483101012e-07,0.0746
3800.0,1.9276303227038382e-07,0.1348
3900.0,1.8321558143975558e-07,0.0217
4000.0,1.7366813060912732e-07,0.0219
4100.0,1.6412067977849913e-07,0.0119
4200.0,1.545732289478709e-07,0.0153
4300.0,1.450257781172427e-07,0.011
4400.0,1.3547832728661447e-07,0.0072
4500.0,1.2593087645598626e-07,0.0197
4600.0,1.1638342562535802e-07,0.0182
4700.0,1.0683597479472978e-07,0.0125
4800.0,9.728852396410159e-08,0.0082
4900.0,8.774107313347334e-08,0.0118
5000.0,7.819362230284515e-08,0.0118
5100.0,6.86461714722169e-08,0.006
5200.0,5.9098720641588714e-08,0.0143
5300.0,4.955126981096047e-08,0.0057
5400.0,4.000381898033223e-08,0.0138
5500.0,3.045636814970404e-08,0.0079
5600.0,2.090891731907579e-08,0.0077
5700.0,1.1361466488447602e-08,0.0094
5800.0,1.8140156578193567e-09,0.0054
