model_family,run_id,scale,params,step,tokens_seen,loss,perplexity,schedule_type,eval_set
pythia,pythia-70m,70m,70000000.0,1,2097152,11.071239,64295.1484,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,2,4194304,11.070647,64257.082,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,4,8388608,11.05968,63556.2109,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,8,16777216,10.915603,55028.3438,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,16,33554432,10.472829,35342.0859,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,32,67108864,9.810284,18220.1719,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,64,134217728,9.001232,8113.0742,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,128,268435456,7.389469,1618.8464,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,256,536870912,6.126002,457.6029,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,512,1073741824,5.053202,156.5228,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,1000,2097152000,3.925657,50.6864,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,2000,4194304000,3.448066,31.4395,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,3000,6291456000,3.292677,26.9148,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,4000,8388608000,3.207724,24.7227,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,5000,10485760000,3.192872,24.3583,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,6000,12582912000,3.146364,23.2514,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,7000,14680064000,3.122935,22.713,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,8000,16777216000,3.096632,22.1233,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,9000,18874368000,3.084209,21.8502,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,10000,20971520000,3.079867,21.7555,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,11000,23068672000,3.061769,21.3653,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,12000,25165824000,3.055847,21.2392,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,13000,27262976000,3.053182,21.1826,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,14000,29360128000,3.04018,20.909,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,15000,31457280000,3.036205,20.8261,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,16000,33554432000,3.038793,20.88,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,17000,35651584000,3.037026,20.8432,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,18000,37748736000,3.025844,20.6114,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,19000,39845888000,3.022215,20.5367,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,20000,41943040000,3.014038,20.3695,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,22000,46137344000,3.015382,20.3969,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,25000,52428800000,3.019777,20.4867,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,28000,58720256000,3.005554,20.1974,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,31000,65011712000,3.003814,20.1623,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,34000,71303168000,2.996377,20.0129,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,37000,77594624000,2.98848,19.8555,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,40000,83886080000,2.991227,19.9101,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,43000,90177536000,2.986146,19.8092,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,46000,96468992000,2.973312,19.5566,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,49000,102760448000,2.974584,19.5815,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,52000,109051904000,2.982829,19.7436,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,55000,115343360000,2.987038,19.8269,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,58000,121634816000,2.978678,19.6618,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,61000,127926272000,3.00866,20.2602,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,64000,134217728000,2.990869,19.903,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,67000,140509184000,2.975721,19.6038,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,70000,146800640000,2.986383,19.8139,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,73000,153092096000,3.005512,20.1966,cosine,NeelNanda/pile-10k
