cosine_to_wsd,feature,max_kappa,mean_all,mean_kappa,mean_off_group,mean_wsd_targets,probe_to_wsd,tests_all,train_id,wins_all,worst_off_group
nan,step_tau2048,0.03225459872761761,-15.107005213768979,0.023280014849517052,-24.45325871521113,-32.61415516572455,-32.61415516572455,18,probe,13,-6.508299656413962
nan,step_tau1024,0.04562042503981218,-16.832115963775966,0.033339916165281765,-22.078334915912496,-30.20040926796948,-30.20040926796948,18,probe,16,-4.463304233498578
nan,S10_cap2048,0.04804582763588826,-18.848103349407992,0.03367270931067476,-18.848103349407992,-23.666245362400968,-23.666245362400968,18,probe3,17,3.204904772028394
nan,S20,0.05261910458803424,-18.055749452887213,0.037166540423538647,-18.055749452887213,-14.542910051071035,-14.542910051071035,18,probe3,18,-1.9230313793197062
nan,S20_cap1024,0.06074939798590149,-16.80361349008889,0.04363132673741102,-16.80361349008889,-16.983020540184338,-16.983020540184338,18,probe3,18,-2.156069027411822
nan,S10_cap1024,0.06074939798590149,-16.626176271614305,0.04363132673741102,-16.626176271614305,-28.525172702260704,-28.525172702260704,18,probe3,14,11.899276049861495
nan,step_tau1024,0.06074939798590149,-16.586005181300678,0.04363132673741102,-16.586005181300678,-37.41236179645045,-37.41236179645045,18,probe3,14,48.206083082080895
nan,S10_cap1024,0.0474950976700038,-16.010511067354045,0.034446899126448015,-16.458856820275937,-22.596129540405414,-22.596129540405414,18,probe,17,-3.00106326475692
nan,S10_current,0.03646705120003114,-15.740957107619872,0.025114517069188793,-15.740957107619872,-17.709103643215297,-17.709103643215297,18,probe3,18,-2.6795266432481424
nan,S10_cap2048,0.04218526223221577,-18.339374030340995,0.029911921561999327,-15.470319453990612,-21.076326604497194,-21.076326604497194,18,probe,18,-3.1544798189591883
nan,S10_cap2048,0.028340519806877164,-14.624623439603758,0.019968313668526486,-14.624623439603758,-14.107762883082275,-14.107762883082275,18,probe9,18,-2.294756015914867
nan,S10_current,0.028340519806877164,-14.363590764040108,0.019968313668526486,-14.363590764040108,-14.15961768666376,-14.15961768666376,18,probe9,18,-2.411973085442909
nan,S20,0.03847845244116927,-14.296474727422394,0.02769156448952237,-14.296474727422394,-10.893045419622004,-10.893045419622004,18,probe9,18,-1.5959020413882086
nan,step_tau512,0.05061050197059498,-13.31158644467256,0.03769100414034614,-13.97096636945657,-19.30256961135473,-19.30256961135473,18,probe,18,-2.5297773428248793
