feature,mean_delta,mean_kappa,mean_r2,median_delta,tests,wins,worst_delta
step_tau2048,-38.70944889724813,0.06214795612099138,0.6026404208074351,-44.129159729619694,18,16,4.598831158335903
step_tau1024,-36.82924954153336,0.11324467759656653,0.6061512362140751,-38.97767927898481,18,18,-1.6655861714844233
S10_cap1024,-36.410841349984814,0.15351625730571247,0.6110590599324696,-38.97767927898481,18,18,-6.3934279641577945
S10_cap2048,-35.64767736713168,0.12011809018884329,0.6048793731493888,-39.047727564368515,18,18,-5.613852346395454
S20,-34.077900809650814,0.21511904810067642,0.5869713381156505,-39.925161084390965,18,18,-3.4649017559915563
S20_cap1024,-32.8856179482525,0.2283165238752462,0.5789336751939376,-37.23104569583582,18,18,-3.4649017559915563
S10_current,-32.265764837142676,0.1124981921247416,0.581639655309673,-35.6459265629353,18,18,-5.613852346395454
S10_cap512,-31.589510133761408,0.22126153401417958,0.5442674704272669,-22.72395884289005,18,18,-6.612826064772137
S20_cap512,-30.94550235944172,0.29097172427539064,0.5449524999324182,-25.8089981243147,18,18,-3.4649017559915563
step_tau512,-30.534410480930305,0.2082356550987227,0.5353410935411236,-22.286646380482505,18,18,-6.612826064772137
S50,-26.754738026111866,0.5119588759496283,0.4993881214108841,-27.887524113421378,18,17,0.3849318488511111
step_tau256,-24.644242105000345,0.3910012779025185,0.44154067194026503,-15.128245762004628,18,18,-2.5514294405253546
S100,-23.031602982414643,0.9996673625526665,0.4289412017294361,-19.691056372639544,18,16,0.41812135125378624
S200,-21.570077711262133,1.969595029523226,0.38827527812247464,-15.796336482795438,18,16,0.09711899669515578
local_drop,-20.753471439379986,94.2456736762489,0.3235833143234404,-8.755383448068367,18,18,-0.21017484542468212
