拟合 MPL on cosine, 比较 [MPL预测误差] vs [数据噪声底]（WSD曲线）
scale                  curve noise_floor   MPL_err     比值    结构?
  25M    wsd_20000_24000.csv     0.00133   0.00545    4.1    结构化
  25M  wsdld_20000_24000.csv     0.00114   0.00574    5.0    结构化
  25M           wsdcon_3.csv     0.00350   0.00598    1.7     接近
  25M           wsdcon_9.csv     0.00344   0.00382    1.1    噪声底
  25M          wsdcon_18.csv     0.00259   0.00342    1.3     接近
 100M    wsd_20000_24000.csv     0.00118   0.00524    4.4    结构化
 100M  wsdld_20000_24000.csv     0.00096   0.00468    4.9    结构化
 100M           wsdcon_3.csv     0.00323   0.00977    3.0    结构化
 100M           wsdcon_9.csv     0.00328   0.00432    1.3     接近
 100M          wsdcon_18.csv     0.00246   0.00201    0.8    噪声底
 400M    wsd_20000_24000.csv     0.00132   0.00711    5.4    结构化
 400M  wsdld_20000_24000.csv     0.00108   0.00599    5.6    结构化
 400M           wsdcon_3.csv     0.00326   0.01861    5.7    结构化
 400M           wsdcon_9.csv     0.00341   0.00740    2.2    结构化
 400M          wsdcon_18.csv     0.00264   0.00434    1.6     接近
