best_delta,block_label,config,end,experiment,group,mean_coef,mean_delta,mean_delta_vs_suffix8k,mean_n_cal,mean_source_retention,median_delta,mode,nonharm,reference_config,rows,split,start,wins,wins_vs_suffix8k,worst_delta,worst_delta_vs_suffix8k
52.99659838584485,,suffix_ge_2160,,prefix_start_sweep,core_wsd,0.4736462777430486,387.3864575909819,413.97909262487946,546.0,0.05999182556397757,236.42896166351525,suffix,0,,45,all,2160,0,-45,1666.6173309624303,1669.770126197729
114.41693209469621,,suffix_ge_2160,,prefix_start_sweep,core_wsd,0.47364627774304857,375.49277640302137,405.3749860329444,546.0,0.05999182556397757,222.04796823229728,suffix,0,,15,same_scale,2160,0,-15,1149.0939728284036,1153.7591596211391
52.99659838584485,,suffix_ge_2160,,prefix_start_sweep,core_wsd,0.47364627774304874,393.333298184962,418.2811459208469,546.0,0.05999182556397758,244.53201159220026,suffix,0,,30,cross_scale,2160,0,-30,1666.6173309624303,1669.770126197729
0.0,,suffix_ge_2160,,prefix_start_sweep,extra_control,0.4329195091748567,0.0,0.0,546.0,0.049627460750522163,0.0,suffix,27,,27,all,2160,0,0,0.0,0.0
0.0,,suffix_ge_2160,,prefix_start_sweep,extra_control,0.4329195091748568,0.0,0.0,546.0,0.049627460750522163,0.0,suffix,9,,9,same_scale,2160,0,0,0.0,0.0
0.0,,suffix_ge_2160,,prefix_start_sweep,extra_control,0.4329195091748567,0.0,0.0,546.0,0.049627460750522163,0.0,suffix,18,,18,cross_scale,2160,0,0,0.0,0.0
-22.198831260527463,,suffix_ge_5000,,prefix_start_sweep,core_wsd,0.2351648435454719,131.98778723076916,158.58042226466677,523.0,0.012002650688975377,80.88796369559755,suffix,2,,45,all,5000,2,-43,602.8790066311911,606.0318018664899
19.34498995705798,,suffix_ge_5000,,prefix_start_sweep,core_wsd,0.2351648435454718,123.34165814927185,153.22386777919488,523.0,0.012002650688975375,100.31654652100337,suffix,0,,15,same_scale,5000,0,-15,399.5158083207526,404.18099511348805
-22.198831260527463,,suffix_ge_5000,,prefix_start_sweep,core_wsd,0.23516484354547176,136.3108517715178,161.25869950740267,523.0,0.01200265068897538,80.53419047154244,suffix,2,,30,cross_scale,5000,2,-28,602.8790066311911,606.0318018664899
0.0,,suffix_ge_5000,,prefix_start_sweep,extra_control,0.28449750792411155,0.0,0.0,523.0,0.011115946909276045,0.0,suffix,27,,27,all,5000,0,0,0.0,0.0
0.0,,suffix_ge_5000,,prefix_start_sweep,extra_control,0.2844975079241115,0.0,0.0,523.0,0.01111594690927604,0.0,suffix,9,,9,same_scale,5000,0,0,0.0,0.0
0.0,,suffix_ge_5000,,prefix_start_sweep,extra_control,0.2844975079241116,0.0,0.0,523.0,0.01111594690927604,0.0,suffix,18,,18,cross_scale,5000,0,0,0.0,0.0
-58.151383339423866,,suffix_ge_6500,,prefix_start_sweep,core_wsd,0.1144632001937384,14.53297527890102,41.125610312798614,512.0,0.0038312764257982914,7.09835632166993,suffix,16,,45,all,6500,16,-29,164.19118736267873,167.3439825979775
-31.86384334694482,,suffix_ge_6500,,prefix_start_sweep,core_wsd,0.11446320019373844,11.896764164456938,41.77897379437997,512.0,0.0038312764257982914,5.034011060167698,suffix,5,,15,same_scale,6500,5,-10,90.38826930321449,95.05345609594991
-58.151383339423866,,suffix_ge_6500,,prefix_start_sweep,core_wsd,0.11446320019373843,15.851080836123066,40.798928572007924,512.0,0.003831276425798291,7.173326247145939,suffix,11,,30,cross_scale,6500,11,-19,164.19118736267873,167.3439825979775
0.0,,suffix_ge_6500,,prefix_start_sweep,extra_control,0.15966748469807446,0.0,0.0,512.0,0.0038126501636664024,0.0,suffix,27,,27,all,6500,0,0,0.0,0.0
0.0,,suffix_ge_6500,,prefix_start_sweep,extra_control,0.15966748469807443,0.0,0.0,512.0,0.003812650163666403,0.0,suffix,9,,9,same_scale,6500,0,0,0.0,0.0
0.0,,suffix_ge_6500,,prefix_start_sweep,extra_control,0.15966748469807443,0.0,0.0,512.0,0.003812650163666403,0.0,suffix,18,,18,cross_scale,6500,0,0,0.0,0.0
-55.89929293428361,,suffix_ge_8000,,prefix_start_sweep,core_wsd,0.044374345942903994,-26.592635033897594,0.0,500.0,0.0013138486715650723,-24.326888698745975,suffix,45,,45,all,8000,45,0,-3.1527952352987443,0.0
-55.89929293428361,,suffix_ge_8000,,prefix_start_sweep,core_wsd,0.044374345942904,-29.882209629923036,0.0,500.0,0.0013138486715650723,-35.96635695800162,suffix,15,,15,same_scale,8000,15,0,-4.665186792735431,0.0
-54.96352549700606,,suffix_ge_8000,,prefix_start_sweep,core_wsd,0.044374345942903994,-24.94784773588486,0.0,500.0,0.0013138486715650727,-23.207638142296272,suffix,30,,30,cross_scale,8000,30,0,-3.1527952352987443,0.0
0.0,,suffix_ge_8000,,prefix_start_sweep,extra_control,0.06939621038619577,0.0,0.0,500.0,0.0013655690142725745,0.0,suffix,27,,27,all,8000,0,0,0.0,0.0
0.0,,suffix_ge_8000,,prefix_start_sweep,extra_control,0.06939621038619578,0.0,0.0,500.0,0.0013655690142725743,0.0,suffix,9,,9,same_scale,8000,0,0,0.0,0.0
0.0,,suffix_ge_8000,,prefix_start_sweep,extra_control,0.06939621038619576,0.0,0.0,500.0,0.0013655690142725743,0.0,suffix,18,,18,cross_scale,8000,0,0,0.0,0.0
-22.50732966910999,,suffix_ge_10000,,prefix_start_sweep,core_wsd,0.012094759088368236,-9.016115988875878,17.576519045021715,484.0,0.00045777788745999994,-8.243357918390625,suffix,45,,45,all,10000,45,0,-1.1432961505103534,2.009499084788391
