cosine_to_wsd_mean_delta,cosine_to_wsd_nonharm,cosine_to_wsd_rows,cosine_to_wsd_wins,cosine_to_wsd_worst_delta,nuisance_shrink,offdiag_mean_delta,offdiag_nonharm,offdiag_rows,offdiag_wins,offdiag_worst_delta,probe_to_wsd_mean_delta,probe_to_wsd_nonharm,probe_to_wsd_rows,probe_to_wsd_wins,probe_to_wsd_worst_delta,self_mean_delta,self_nonharm,self_rows,self_wins,self_worst_delta
-8.050631925868158,6,6,2,0.0,0.0,-13.01055461837538,90,90,80,0.0,-21.800463481138216,18,18,18,-11.96687427323264,-70.57679566355084,18,18,18,-38.87148919959566
-8.050631925868158,6,6,2,0.0,0.2,-13.762428561417659,90,90,80,0.0,-21.800463481138216,18,18,18,-11.96687427323264,-70.57679566355084,18,18,18,-38.87148919959566
-8.050631925868158,6,6,2,0.0,0.4,-14.329369367917707,90,90,80,0.0,-21.800463481138216,18,18,18,-11.96687427323264,-70.57679566355084,18,18,18,-38.87148919959566
-8.050631925868158,6,6,2,0.0,0.6,-14.669684504791446,90,90,80,0.0,-21.800463481138216,18,18,18,-11.96687427323264,-70.57679566355084,18,18,18,-38.87148919959566
-8.050631925868158,6,6,2,0.0,0.7,-14.743188964463261,90,90,80,0.0,-21.800463481138216,18,18,18,-11.96687427323264,-70.57679566355084,18,18,18,-38.87148919959566
-8.050631925868158,6,6,2,0.0,0.75,-14.761991461042584,90,90,80,0.0,-21.800463481138216,18,18,18,-11.96687427323264,-70.57679566355084,18,18,18,-38.87148919959566
-8.050631925868158,6,6,2,0.0,0.8,-14.767237450002042,90,90,80,0.0,-21.800463481138216,18,18,18,-11.96687427323264,-70.57679566355084,18,18,18,-38.87148919959566
-8.050631925868158,6,6,2,0.0,0.85,-14.756743881080439,90,90,80,0.0,-21.800463481138216,18,18,18,-11.96687427323264,-70.57679566355084,18,18,18,-38.87148919959566
-8.050631925868158,6,6,2,0.0,0.9,-14.73224317467025,90,90,80,0.0,-21.800463481138216,18,18,18,-11.96687427323264,-70.57679566355084,18,18,18,-38.87148919959566
-8.050631925868158,6,6,2,0.0,0.95,-14.695190811303418,89,90,79,1.4019627681791436,-21.800463481138216,18,18,18,-11.96687427323264,-70.57679566355084,18,18,18,-38.87148919959566
-8.050631925868158,6,6,2,0.0,1.0,-14.647047905057406,89,90,79,4.223330009319359,-21.800463481138216,18,18,18,-11.96687427323264,-70.57679566355084,18,18,18,-38.87148919959566
