mean_delta,model,nonharm,rows,scale,worst_delta
-32.41880324667105,geometry_shape_routed,6/6,6,25,-16.315803898431447
-36.289700619086624,geometry_shape_routed,6/6,6,100,-9.381115950130036
-39.720982775002895,geometry_shape_routed,6/6,6,400,-7.030977928538551
-30.25825669230852,geometry_no_nuisance,6/6,6,25,-14.358067877085535
-30.2078550836661,geometry_no_nuisance,6/6,6,100,-1.5363485015613465
-36.30369246630353,geometry_no_nuisance,6/6,6,400,-7.030977928538551
-29.468382674208186,geometry_cross_family,6/6,6,25,-9.461437199056434
-33.335770645186194,geometry_cross_family,6/6,6,100,-7.348792752078259
-38.452510692941715,geometry_cross_family,6/6,6,400,-6.460721805621095
-40.531912709343665,geometry_self_fit_no_nuisance,6/6,6,25,-20.78666692880502
-42.62863931348439,geometry_self_fit_no_nuisance,6/6,6,100,-8.920546112842931
-38.93675596365115,geometry_self_fit_no_nuisance,6/6,6,400,-6.612826064772137
