group_id,mean_delta,nonharm,rows,target_group,wins,worst_delta
cosine,-8.050631925868158,6,6,wsd,2,0.0
cosine,-8.485263543859766,9,9,probe,3,0.0
cosine,-1.3692939944105993,3,3,cosine,1,0.0
probe,-24.160671881293997,6,6,wsd,6,-15.894298686761365
probe,-14.23973255976612,9,9,probe,9,-1.4026883880214225
probe,-4.713875452313432,3,3,cosine,3,-2.808965378563655
probe3,-27.637981845513536,6,6,wsd,6,-18.71776481170554
probe3,-15.654416841048228,9,9,probe,9,-0.7029620733866149
probe3,-5.37753537666616,3,3,cosine,3,-3.307950502023005
wsd,-23.46703084273194,6,6,wsd,6,-14.05733368919192
wsd,-13.5517541520274,9,9,probe,9,-1.0617003094535282
wsd,-4.607853539368127,3,3,cosine,3,-2.484322487329571
