mean_delta,nonharm,route,rows,tau_multiplier,worst_delta
-48.63094186833663,6/6,finite_tail,6,0.5,-35.479907122305306
-49.66673687695813,6/6,finite_tail,6,0.625,-34.96954070966366
-50.243597309099925,6/6,finite_tail,6,0.75,-34.54658433734474
-50.48286849890908,6/6,finite_tail,6,0.875,-34.20098844473098
-50.500818254616796,6/6,finite_tail,6,1.0,-33.93644382074867
-50.40618748500981,6/6,finite_tail,6,1.125,-33.706365395161285
-50.269211072489036,6/6,finite_tail,6,1.25,-33.498145095650415
-50.13387441663755,6/6,finite_tail,6,1.375,-33.31810202184844
-50.01819017589278,6/6,finite_tail,6,1.5,-33.16693293129882
-49.83062425040115,6/6,finite_tail,6,1.75,-32.9276228957616
-49.68059789597942,6/6,finite_tail,6,2.0,-32.74684674778873
-33.28002401188184,3/3,full_step_drop,3,0.5,-32.29880122934603
-40.93637859817099,3/3,full_step_drop,3,0.625,-39.33427509865797
-46.860404826112756,3/3,full_step_drop,3,0.75,-44.35887313088712
-50.997613283004114,3/3,full_step_drop,3,0.875,-47.06373885821399
-53.14850426136252,3/3,full_step_drop,3,1.0,-47.31021639725243
-53.46507980811996,3/3,full_step_drop,3,1.125,-45.54693426518973
-51.72336661495566,3/3,full_step_drop,3,1.25,-42.325122848022204
-48.43094431629907,3/3,full_step_drop,3,1.375,-38.505046756914
-45.007863990561646,3/3,full_step_drop,3,1.5,-34.69940362902438
-38.384988438456766,3/3,full_step_drop,3,1.75,-27.6530568819472
-32.47190312038119,3/3,full_step_drop,3,2.0,-21.493225304111053
-8.567706458536472,3/3,medium_step_drop,3,0.5,-5.228519914543462
-11.444797958755222,3/3,medium_step_drop,3,0.625,-7.805246415981271
-13.89507246811886,3/3,medium_step_drop,3,0.75,-9.891531387229769
-15.56192872690159,3/3,medium_step_drop,3,0.875,-10.115402787459804
-15.893947527952639,3/3,medium_step_drop,3,1.0,-8.75898187605455
-14.920338534829726,3/3,medium_step_drop,3,1.125,-6.626448790872885
-12.227351417159161,3/3,medium_step_drop,3,1.25,-4.1785949348498
-9.140824414865788,3/3,medium_step_drop,3,1.375,-1.5692094803514856
-6.01562288223078,2/3,medium_step_drop,3,1.5,1.013397409275929
0.07040623255527183,1/3,medium_step_drop,3,1.75,6.071468965102778
5.859698727387386,0/3,medium_step_drop,3,2.0,10.955910358804633
-20.493052331776262,3/3,smooth_decay,3,0.5,-12.405860585954242
-24.84892952285759,3/3,smooth_decay,3,0.625,-15.357405311975004
-28.76085792443227,3/3,smooth_decay,3,0.75,-18.222638914752885
-32.179881114582535,3/3,smooth_decay,3,0.875,-20.99047683482621
-35.014117827481364,3/3,smooth_decay,3,1.0,-23.654066381177863
-37.254299428596816,3/3,smooth_decay,3,1.125,-26.209695220994035
-38.93425177872006,3/3,smooth_decay,3,1.25,-28.65608530626741
-39.94585499811867,3/3,smooth_decay,3,1.375,-30.993838946559883
-40.41273073891663,3/3,smooth_decay,3,1.5,-33.1940589543015
-39.78980826543589,3/3,smooth_decay,3,1.75,-28.914917215527158
-37.10446384894267,3/3,smooth_decay,3,2.0,-16.714834456283455
-7.821950746829702,3/3,weak_step_drop,3,0.5,-3.565389717291667
-10.098575427928402,3/3,weak_step_drop,3,0.625,-5.837668188792666
-11.518734637930805,3/3,weak_step_drop,3,0.75,-7.687649852345735
-12.068492147600667,3/3,weak_step_drop,3,0.875,-8.247618950960456
-11.718410514585676,3/3,weak_step_drop,3,1.0,-7.030977928538551
-11.03207954753198,3/3,weak_step_drop,3,1.125,-5.127012166886857
-10.224049010812836,3/3,weak_step_drop,3,1.25,-3.22652018485744
-9.434618039435762,3/3,weak_step_drop,3,1.375,-1.4243336735405232
-8.745802782851685,2/3,weak_step_drop,3,1.5,0.20391683233191849
-7.557197576647693,2/3,weak_step_drop,3,1.75,3.0623440937632918
-6.487957810057754,2/3,weak_step_drop,3,2.0,5.469284821204279
