feature,kappa,mode,scale,train_curves,train_id
S10_current,0.4814157232423702,group,25,cosine_72000,cosine
S10_current,0.5358652541815773,group,100,cosine_72000,cosine
S10_current,0.342376104647063,group,400,cosine_72000,cosine
S10_current,0.04894784537711494,group,25,wsd_20000_24000+wsdld_20000_24000,wsd
S10_current,0.07669378519592235,group,100,wsd_20000_24000+wsdld_20000_24000,wsd
S10_current,0.10137762438248095,group,400,wsd_20000_24000+wsdld_20000_24000,wsd
S10_current,0.017738466523894544,group,25,wsdcon_3+wsdcon_9+wsdcon_18,probe
S10_current,0.020195301411305162,group,100,wsdcon_3+wsdcon_9+wsdcon_18,probe
S10_current,0.03469206327068291,group,400,wsdcon_3+wsdcon_9+wsdcon_18,probe
S10_current,0.017559440308880705,group,25,wsdcon_3,probe3
S10_current,0.02131705969865454,group,100,wsdcon_3,probe3
S10_current,0.03646705120003114,group,400,wsdcon_3,probe3
S10_current,0.016135752669323045,group,25,wsdcon_9,probe9
S10_current,0.015428668529379243,group,100,wsdcon_9,probe9
S10_current,0.028340519806877164,group,400,wsdcon_9,probe9
step_tau1024,0.5217620665597293,group,25,cosine_72000,cosine
step_tau1024,0.5539993714799405,group,100,cosine_72000,cosine
step_tau1024,0.3653683575823281,group,400,cosine_72000,cosine
step_tau1024,0.03785487760770775,group,25,wsd_20000_24000+wsdld_20000_24000,wsd
step_tau1024,0.05890829152850725,group,100,wsd_20000_24000+wsdld_20000_24000,wsd
step_tau1024,0.07717731435074902,group,400,wsd_20000_24000+wsdld_20000_24000,wsd
step_tau1024,0.025214855712883084,group,25,wsdcon_3+wsdcon_9+wsdcon_18,probe
step_tau1024,0.02918446774315001,group,100,wsdcon_3+wsdcon_9+wsdcon_18,probe
step_tau1024,0.04562042503981218,group,400,wsdcon_3+wsdcon_9+wsdcon_18,probe
step_tau1024,0.03002340368515867,group,25,wsdcon_3,probe3
step_tau1024,0.0401211785411729,group,100,wsdcon_3,probe3
step_tau1024,0.06074939798590149,group,400,wsdcon_3,probe3
step_tau1024,0.01687392772472973,group,25,wsdcon_9,probe9
step_tau1024,0.016631760126325456,group,100,wsdcon_9,probe9
step_tau1024,0.029972285972073538,group,400,wsdcon_9,probe9
step_tau1536,0.34762324981468845,group,25,cosine_72000,cosine
step_tau1536,0.3703796271726921,group,100,cosine_72000,cosine
step_tau1536,0.24535087131918945,group,400,cosine_72000,cosine
step_tau1536,0.029234822517060725,group,25,wsd_20000_24000+wsdld_20000_24000,wsd
step_tau1536,0.04558388881020212,group,100,wsd_20000_24000+wsdld_20000_24000,wsd
step_tau1536,0.06008455401630307,group,400,wsd_20000_24000+wsdld_20000_24000,wsd
step_tau1536,0.02148134829530293,group,25,wsdcon_3+wsdcon_9+wsdcon_18,probe
step_tau1536,0.02365034354746907,group,100,wsdcon_3+wsdcon_9+wsdcon_18,probe
step_tau1536,0.0383973094401527,group,400,wsdcon_3+wsdcon_9+wsdcon_18,probe
step_tau1536,0.026328445418889443,group,25,wsdcon_3,probe3
step_tau1536,0.03475980296646558,group,100,wsdcon_3,probe3
step_tau1536,0.05428317162440374,group,400,wsdcon_3,probe3
step_tau1536,0.012989699498744147,group,25,wsdcon_9,probe9
step_tau1536,0.010296651554581012,group,100,wsdcon_9,probe9
step_tau1536,0.021185485931386503,group,400,wsdcon_9,probe9
step_tau2304,0.23160137949842455,group,25,cosine_72000,cosine
step_tau2304,0.2479646629541914,group,100,cosine_72000,cosine
step_tau2304,0.1651474218909919,group,400,cosine_72000,cosine
step_tau2304,0.023511835359539983,group,25,wsd_20000_24000+wsdld_20000_24000,wsd
step_tau2304,0.03672393307138937,group,100,wsd_20000_24000+wsdld_20000_24000,wsd
step_tau2304,0.04861943175913748,group,400,wsd_20000_24000+wsdld_20000_24000,wsd
step_tau2304,0.017197839656173927,group,25,wsdcon_3+wsdcon_9+wsdcon_18,probe
step_tau2304,0.017281227255499552,group,100,wsdcon_3+wsdcon_9+wsdcon_18,probe
step_tau2304,0.029671251409866886,group,400,wsdcon_3+wsdcon_9+wsdcon_18,probe
step_tau2304,0.02170097513237618,group,25,wsdcon_3,probe3
step_tau2304,0.027782703355789612,group,100,wsdcon_3,probe3
step_tau2304,0.04526798113396155,group,400,wsdcon_3,probe3
step_tau2304,0.009049006573220752,group,25,wsdcon_9,probe9
step_tau2304,0.0038786382451976493,group,100,wsdcon_9,probe9
step_tau2304,0.011871995909505313,group,400,wsdcon_9,probe9
