audit,description,mean_delta,nonharm,rows,wins,worst_delta
final_core,final routed rule on core target-holdout curves,-36.12943610676929,18,18,18,-7.030977928538551
final_extended,final routed rule plus cosine/constant safety controls,-24.086290737846202,27,27,18,0.0
no_short_smooth_gate,ablation that lets cosine_24000 transfer as a long smooth decay,-10.717512663777025,24,27,18,154.04526288491743
no_nuisance_projection,core routes with nuisance projection disabled,-32.038059900826575,18,18,18,-0.410037060093571
fixed_tau_1024,core routes with one universal tau=1024,-24.445838534714746,17,18,17,5.469284821204279
tau_x0.5,core routes with all nonzero taus multiplied by 0.5,-27.904102880949594,18,18,18,-3.565389717291667
tau_x0.75,core routes with all nonzero taus multiplied by 0.75,-33.587044079132426,18,18,18,-7.687649852345735
tau_x1.25,core routes with all nonzero taus multiplied by 1.25,-35.60790682777096,18,18,18,-3.22652018485744
tau_x1.5,core routes with all nonzero taus multiplied by 1.5,-33.36973345772438,16,18,16,1.013397409275929
tau_x2,core routes with all nonzero taus multiplied by 2,-28.260970307325508,14,18,14,10.955910358804633
