tau,self_mean,self_worst,self_wins,self_tests,probe_wsd_mean,probe_wsd_worst,probe_wsd_wins,probe3_wsd_mean,probe3_wsd_worst,probe3_wsd_wins,probe9_wsd_mean,probe9_wsd_worst,probe9_wsd_wins,probe_off_mean,probe_off_worst,probe_off_wins
512,-30.534410480930305,-6.612826064772137,18,18,-19.30256961135473,-16.67818406692917,6,-23.190586571450737,-18.668264820219495,6,-14.421407512605002,-12.543855063007669,6,-13.97096636945657,-2.5297773428248793,9
768,-34.42079725053885,-4.530778180315886,18,18,-26.11025578132656,-22.045661285915084,6,-31.854639873914422,-25.606119382356862,6,-17.983281536536307,-15.581372408244187,6,-18.985715838527888,-3.605918677405373,9
1024,-36.82924954153336,-1.6655861714844233,18,18,-30.20040926796948,-25.261553891093,6,-37.41236179645045,-29.937020154999004,6,-19.19128382058113,-15.99285174355025,6,-22.078334915912496,-4.463304233498578,9
1280,-38.13946390368409,0.43390006449610663,16,18,-32.373489794506774,-26.987797689454286,6,-40.81030235265968,-32.27297759961514,6,-18.886777894316037,-14.733500284967816,6,-23.805427555315447,-5.146754488973948,9
1536,-38.86653189422796,2.4156608342032815,16,18,-33.21904409444313,-27.733083671283275,6,-42.86332447135411,-33.59477544319817,6,-17.695469612061963,-12.759003773399524,6,-24.57987541828942,-5.695155623850301,9
1792,-39.00004243922387,3.843890434394037,16,18,-33.18489240454644,-27.856712521567452,6,-44.058351392697965,-34.137738120323554,6,-16.04278746199205,-10.4770012337851,6,-24.715240195302382,-6.140507805457462,9
2048,-38.70944889724813,4.598831158335903,16,18,-32.61415516572455,-27.485441887215632,6,-44.67964994095144,-34.24907950960914,6,-14.199037958878131,-8.134458652809363,6,-24.45325871521113,-6.508299656413962,9
2304,-38.21213580847732,4.9119529122108485,14,18,-31.734629008258477,-26.16226551673827,6,-44.91461837084146,-34.06171413804944,6,-12.327994957521897,-5.871918823470135,6,-23.955782656976425,-6.818296628217235,9
2560,-37.666093579558584,5.218265425819424,14,18,-30.690953407668108,-24.75989808265635,6,-44.8633156478148,-33.66021008972707,6,-10.522894633043807,-3.7621569455300152,6,-23.32659956816701,-7.057694614109733,9
3072,-36.679127211513006,5.469361126833849,14,18,-28.447307415909176,-21.99850000721535,6,-43.797399661176065,-32.49081487325128,6,-7.276781908546618,-0.10168383811086645,6,-21.91819416729535,-7.011649539083464,9
3584,-35.835972698710705,5.3214319101658525,14,18,-26.289929552847894,-19.50454538940948,6,-41.974397588165836,-31.180207780976122,6,-5.579669982288906,0.0,4,-20.530875335173906,-6.874537107787971,9
4096,-35.134587636334004,5.0234188315261274,14,18,-24.353046050722238,-17.34989043258005,6,-40.04224791057907,-29.946075000663708,6,-4.212203152979432,0.0,4,-19.271181381934788,-6.697743759823071,9
5120,-33.912722354031956,4.3538771789293,14,18,-21.20119012444749,-13.971283674033874,6,-36.575033696500576,-27.84962401966761,6,-2.730461950201733,0.0,2,-17.208468165142317,-6.319412209649333,9
6144,-32.905011248693995,3.771162720203547,13,18,-18.853227198117896,-11.542226794977672,6,-33.825994801351925,-26.222450730042222,6,-2.2908359267559466,0.0,2,-15.670981965473414,-5.966383729443314,9
