scale,scheme,avg_test_mae,avg_test_huber,avg_train_mae,best_loss
25,equal_1_1_1,0.0037597758747903464,0.00022261571988909854,0.0037050907096992623,0.0002786183721750816
25,cosine_constant_3_3_1,0.01446974365000391,0.0009530842402568476,0.013943040026845224,0.0005015655809792519
25,cosine_wsdcon_3_1_3,0.010446318655654124,0.0005328450260578161,0.013448652578192078,0.0003377945480907522
25,constant_wsdcon_1_3_3,0.002958783788622561,0.00016060523009205695,0.003940942377415347,0.00023356501814349994
100,equal_1_1_1,0.004348210294859063,0.000355212882859899,0.0033538731162110844,0.0002750658257182462
100,cosine_constant_3_3_1,0.004140829982441673,0.0002626495550853893,0.00468843029337236,0.00026631539007266177
100,cosine_wsdcon_3_1_3,0.005217640138341588,0.00046442929040641087,0.0033660981211627496,0.0002868213700375711
100,constant_wsdcon_1_3_3,0.003701046770301733,0.00027289640123594357,0.003253954999597835,0.00024054090244148598
400,equal_1_1_1,0.004835011785538259,0.00035034849616809527,0.005162419237807264,0.00040780329047521873
400,cosine_constant_3_3_1,0.005192587814948035,0.00041770523999438595,0.003962191088056586,0.0003651077695824944
400,cosine_wsdcon_3_1_3,0.006632293623161852,0.0006200036896260446,0.00412654815332513,0.00045534943080468963
400,constant_wsdcon_1_3_3,0.004159843181321988,0.00030882071161215154,0.004664531438430088,0.0003849755062257746
